#{"t_start": 1788108977.863484, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-34.899092,144,38.793641,1,0.0,2,0,0,112.0,20.0,1
48.720341,318,39.463641,2,0.0,9,3,1,101.92,220.0,4
-36.242078,102,39.655641,1,0.0,0,0,0,112.0,0.0,1
35.811029,293,40.23764,2,0.0,1,3,1,156.82240000000002,140.0,3
-12.681023,296,40.820642,1,0.0,7,1,0,112.0,105.0,3
-19.812979,235,41.303641,1,0.0,0,1,0,112.0,35.0,1
-22.316924,210,41.80364,1,0.0,0,1,0,112.0,35.0,1
-28.277344,193,42.214639,1,0.0,5,0,0,112.0,50.0,2
48.85321,243,42.71964,2,0.0,6,3,1,101.92,190.0,3
45.188823,211,43.15264,2,0.0,5,3,1,101.92,180.0,3
-35.621642,121,43.405643,1,0.0,1,0,0,112.0,10.0,1
-30.915714,209,43.836641,1,0.0,5,0,0,112.0,50.0,2
-22.74606,114,44.059639,1,0.0,0,1,0,112.0,35.0,1
-19.577354,290,44.63464,1,0.0,3,1,0,126.0,65.0,2
