#{"t_start": 1788242596.0900464, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
-54.995106,138,797.464723,3,0.0,0,0,0,120.3328,0.0,1,0,3,0,0,0
-68.997153,354,798.405873,3,0.0,0,0,0,107.92320000000001,0.0,1,0,3,0,0,0
438.690442,868,800.671175,6,0.0,33,16,5,160.56,1060.0,6,1,2,0,0,1
-51.160721,98,800.922652,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
54.855146,232,801.460429,2,0.0,3,4,1,100.80000000000001,185.0,2,0,0,0,0,1
-51.362433,155,801.902488,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
78.856687,381,802.82531,3,0.0,1,5,2,163.99040000000002,233.0,3,0,3,0,0,0
-44.756873,105,803.109914,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-50.384804,112,803.419363,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-47.062901,102,803.677679,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-78.37523,300,804.500992,3,0.0,1,0,0,113.6576,7.0,1,0,2,0,0,0
-52.927685,224,805.118424,3,0.0,1,0,0,102.18880000000001,7.0,1,0,2,0,0,0
37.085097,191,805.573693,2,0.0,2,3,1,111.38400000000001,144.0,2,1,0,0,0,1
-75.848666,200,806.133519,3,0.0,0,0,0,107.92320000000002,0.0,1,0,0,0,0,0
-66.422881,246,806.820285,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
-45.670906,111,807.106542,3,0.0,1,0,0,114.59840000000003,7.0,1,0,0,0,0,0
-57.135644,138,807.467706,3,0.0,0,0,0,102.1888,0.0,1,0,2,0,0,0
-60.585139,260,808.210456,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-49.799047,84,808.432899,3,0.0,0,0,0,114.59840000000001,0.0,1,0,2,0,0,0
71.383682,529,809.829184,3,0.0,2,5,2,110.78144000000003,240.0,3,0,0,0,0,0
-74.692303,162,810.280517,3,0.0,0,0,0,107.92320000000002,0.0,1,0,0,0,0,0
-59.312545,246,811.003616,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-67.759485,210,811.590972,3,0.0,0,0,0,107.92320000000002,0.0,1,0,0,0,0,0
87.564789,303,812.317769,3,0.0,1,5,2,107.43040000000002,233.0,3,0,0,0,0,0
-65.468899,246,813.019499,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-59.895595,257,813.729991,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-54.572194,138,814.113375,3,0.0,0,0,0,102.1888,0.0,1,0,2,0,0,0
-54.017592,207,814.670833,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-46.699707,284,815.452132,3,0.0,0,0,0,114.59840000000003,0.0,1,0,2,0,0,0
77.673202,697,817.169252,3,0.0,15,5,2,129.3152,331.0,3,0,2,0,0,1
140.368449,619,818.813138,4,0.0,21,6,3,262.39360000000005,665.0,4,0,0,0,0,1
-70.045699,246,819.515775,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
-45.01129,100,819.786755,3,0.0,0,0,0,114.59840000000001,0.0,1,0,0,0,0,0
-63.092184,186,820.303881,3,0.0,0,0,0,102.18880000000001,0.0,1,0,3,0,0,0
99.013311,303,821.043004,3,0.0,6,5,2,108.12480000000001,268.0,3,1,2,2,2,0
-40.478289,252,821.718942,3,0.0,0,0,0,114.59840000000001,0.0,1,0,0,0,0,0
57.902287,195,822.155388,2,0.0,4,4,1,100.24000000000001,192.0,3,0,0,0,0,1
-62.417779,199,822.686006,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-54.120472,246,823.376049,3,0.0,0,0,0,102.1888,0.0,1,0,2,0,0,0
91.647747,248,824.046396,3,0.0,3,5,2,112.7056,247.0,3,1,2,0,0,0
-44.99023,84,824.282136,3,0.0,0,0,0,114.59840000000001,0.0,1,0,2,0,0,0
-36.889709,265,825.014164,3,0.0,1,0,0,114.59840000000001,7.0,1,0,0,0,0,0
-62.197625,162,825.430507,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-45.725799,108,825.702722,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-61.007512,84,825.916677,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-56.507038,151,826.322255,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-67.674151,300,827.343734,3,0.0,0,0,0,107.92320000000001,0.0,1,0,3,0,0,0
-91.700801,195,827.933618,3,0.0,1,0,0,113.65760000000002,7.0,1,0,2,0,0,0
-41.102153,246,828.926298,3,0.0,0,0,0,114.59840000000001,0.0,1,0,3,0,0,0
-83.49554,234,829.746861,3,0.0,0,0,0,113.65760000000002,0.0,1,0,3,0,0,0
-89.869342,239,830.441547,3,0.0,0,0,0,113.65760000000002,0.0,1,0,2,0,0,0
-84.316495,300,831.310802,3,0.0,0,0,0,113.65760000000002,0.0,1,0,2,0,0,0
-51.992371,192,831.855212,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-67.265688,246,832.595632,3,0.0,0,0,0,107.92320000000001,0.0,1,0,3,0,0,0
-54.414485,246,833.391625,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
37.365838,208,833.946347,2,0.0,3,3,1,109.92800000000001,151.0,2,1,0,0,0,0
-34.279071,61,834.11271,3,0.0,0,0,0,108.86400000000002,0.0,1,0,0,0,0,0
72.141493,456,835.272926,3,0.0,10,5,2,112.8848,296.0,3,0,2,0,0,1
-52.192323,114,835.656096,3,0.0,2,0,0,102.18880000000001,14.0,1,0,0,0,0,0
52.608528,210,836.160929,2,0.0,3,4,1,101.36000000000001,185.0,2,0,0,0,0,1
-77.524982,311,837.029761,3,0.0,1,0,0,113.65760000000002,7.0,1,0,0,0,0,0
-59.014775,110,837.32991,3,0.0,1,0,0,102.18880000000001,7.0,1,0,0,0,0,0
-35.773227,66,837.505124,3,0.0,0,0,0,108.86400000000002,0.0,1,0,2,0,0,0
38.016361,242,838.100138,2,0.0,3,3,1,109.92800000000001,151.0,2,1,0,0,0,0
-73.903879,229,838.722522,3,0.0,1,0,0,107.92320000000001,7.0,1,0,3,0,0,0
-40.098244,194,839.238205,3,0.0,1,0,0,114.59840000000001,7.0,1,0,2,0,0,0
-55.125098,192,839.768352,3,0.0,0,0,0,120.3328,0.0,1,0,2,0,0,0
36.467303,187,840.173161,2,0.0,2,3,1,128.8,144.0,2,0,0,0,0,0
-39.184217,195,840.694824,3,0.0,1,0,0,114.59840000000001,7.0,1,0,2,0,0,0
-66.943647,189,841.205742,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
65.140977,562,842.665182,3,0.0,10,5,2,164.58624000000003,296.0,3,1,3,2,3,1
-52.623778,300,843.520165,3,0.0,0,0,0,120.3328,0.0,1,0,2,0,0,0
-76.579318,354,844.540055,3,0.0,0,0,0,113.6576,0.0,1,0,2,0,0,0
-50.034565,163,844.970136,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
73.649306,294,845.658891,3,0.0,1,5,2,141.72480000000002,233.0,3,0,2,0,0,0
-55.692314,84,845.878891,3,0.0,1,0,0,120.33280000000002,7.0,1,0,2,0,0,0
-34.131549,270,846.656724,3,0.0,0,0,0,114.59840000000001,0.0,1,0,0,0,0,0
-71.72181,246,847.376754,3,0.0,1,0,0,107.92320000000001,7.0,1,0,2,0,0,0
-33.19549,291,848.212966,3,0.0,0,0,0,108.86400000000002,0.0,1,0,2,0,0,0
54.507361,231,848.769447,2,0.0,3,4,1,100.80000000000001,185.0,2,1,0,0,0,0
-63.333657,114,849.067446,3,0.0,1,0,0,102.18880000000001,7.0,1,0,0,0,0,0
-56.929342,138,849.436585,3,0.0,1,0,0,120.33280000000002,7.0,1,0,2,0,0,0
-52.598126,192,849.99743,3,0.0,0,0,0,102.1888,0.0,1,0,2,0,0,0
-73.95921,195,850.523329,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
-52.27444,108,850.794539,3,0.0,2,0,0,102.18880000000001,14.0,1,0,0,0,0,0
52.901725,222,851.333064,2,0.0,3,4,1,101.92,185.0,2,0,0,0,0,0
-67.118295,246,852.024296,3,0.0,0,0,0,107.92320000000001,0.0,1,0,3,0,0,0
-89.9691,251,852.705146,3,0.0,0,0,0,113.65760000000002,0.0,1,0,0,0,0,0
-59.63656,157,853.127411,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-54.924042,192,853.678019,3,0.0,0,0,0,120.3328,0.0,1,0,2,0,0,0
72.295017,344,859.486009,3,0.0,9,5,2,114.7552,289.0,3,0,2,0,0,1
-30.53975,110,859.768583,3,0.0,0,0,0,108.86400000000002,0.0,1,0,0,0,0,0
35.037455,265,860.435155,2,0.0,2,3,1,109.36800000000001,144.0,2,1,0,0,0,0
-74.04966,209,861.00245,3,0.0,0,0,0,107.92320000000002,0.0,1,0,0,0,0,0
-48.64936,138,861.380662,3,0.0,0,0,0,114.59840000000003,0.0,1,0,2,0,0,0
-54.750663,192,861.940172,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-57.888916,84,862.165305,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-48.249133,230,862.815894,3,0.0,0,0,0,114.59840000000003,0.0,1,0,2,0,0,0
95.360334,645,864.481035,3,0.0,15,5,2,176.5568,416.0,4,0,2,0,0,1
-72.289721,169,864.911704,3,0.0,0,0,0,107.92320000000002,0.0,1,0,0,0,0,0
-38.031876,273,865.649297,3,0.0,1,0,0,114.59840000000003,7.0,1,0,0,0,0,0
-44.655149,84,865.875512,3,0.0,0,0,0,114.59840000000001,0.0,1,0,3,0,0,0
-45.029446,236,866.548248,3,0.0,0,0,0,114.59840000000003,0.0,1,0,3,0,0,0
-88.37611,214,867.091741,3,0.0,2,0,0,113.65760000000002,14.0,1,0,0,0,0,0
72.308696,328,867.88192,3,0.0,8,5,2,114.7552,282.0,3,0,2,0,0,1
77.895862,426,868.971479,3,0.0,7,5,2,112.60480000000001,275.0,3,0,0,0,0,1
229.79209,959,871.670366,4,0.0,25,9,3,238.04480000000007,880.0,5,1,0,0,0,1
-47.0167,134,872.046831,3,0.0,0,0,0,114.59840000000003,0.0,1,0,2,0,0,0
49.08189,183,872.485713,2,0.0,1,4,1,115.92000000000002,171.0,2,0,0,0,0,0
-60.480078,97,872.738708,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
95.238035,316,873.509622,3,0.0,5,5,2,117.5416,261.0,3,1,2,1,1,0
109.621411,440,874.611139,3,0.0,5,5,2,131.28640000000001,261.0,3,0,2,2,3,0
-52.508902,82,874.822229,3,0.0,0,0,0,114.59840000000003,0.0,1,0,3,0,0,0
69.392552,417,875.89904,3,0.0,1,5,2,162.72480000000002,233.0,3,0,2,0,0,0
83.652772,358,876.705276,3,0.0,5,5,2,171.15840000000003,261.0,3,0,0,0,0,0
36.711943,210,877.174593,2,0.0,2,3,1,128.8,144.0,2,0,0,0,0,0
-59.639691,84,877.389589,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-61.255678,84,877.602794,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-31.643873,110,877.876427,3,0.0,0,0,0,108.86400000000002,0.0,1,0,0,0,0,0
-52.345835,290,878.665127,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
48.958994,174,879.059737,2,0.0,0,4,1,100.24000000000001,164.0,2,0,0,0,0,0
-72.897617,176,879.521733,3,0.0,0,0,0,107.92320000000002,0.0,1,0,2,0,0,0
-68.411017,300,880.36448,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
41.563278,239,880.985616,2,0.0,3,3,1,101.92,151.0,2,1,0,0,0,0
-46.787053,169,881.448135,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
95.067014,412,882.515196,3,0.0,10,5,2,107.5624,296.0,3,0,2,1,1,1
-61.379741,153,882.922466,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
86.793257,341,883.762401,3,0.0,7,5,2,100.4168,275.0,3,0,2,2,1,1
-78.744595,138,884.138655,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
89.87032,378,885.124243,3,0.0,12,5,2,114.7552,310.0,3,1,3,1,2,1
-81.88714,300,885.971906,3,0.0,0,0,0,113.65760000000002,0.0,1,0,2,0,0,0
-57.295701,243,886.656519,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-57.761509,260,887.389608,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
57.271221,289,888.082722,2,0.0,8,4,1,109.36800000000001,220.0,3,1,0,0,0,1
-97.116959,246,888.761693,3,0.0,0,0,0,119.39200000000001,0.0,1,0,2,0,0,0
-44.458892,101,889.023588,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-51.367692,138,889.403896,3,0.0,0,0,0,102.1888,0.0,1,0,2,0,0,0
-49.714273,124,889.729535,3,0.0,1,0,0,114.59840000000003,7.0,1,0,2,0,0,0
