comparison,variant,run_seed,episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
intrinsic,intrinsic,333,107,439,0.8949549549549549,1.0,1.0,0.018357152930759704,1.0183571529307565,300,truncated,0,0,,1,64,58,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:5|1:7|1:8|1:9|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:7|3:8|3:9|4:2|4:5|4:6|4:7|4:9|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:0|6:1|6:2|6:7|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|8:4,360
intrinsic,intrinsic,333,108,440,0.8939639639639639,3.0,3.0,0.012827544918530338,3.0128275449185296,187,victory,1,0,,0,60,41,0:0|0:1|0:2|1:0|1:2|2:2|3:2|3:5|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|6:0|6:1|6:2|6:4|6:7|6:8|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:7|8:8|8:9|9:8|9:9,374
intrinsic,intrinsic,333,109,441,0.892972972972973,3.0,3.0,0.01097935697636472,3.010979356976363,163,victory,1,0,,0,50,43,0:0|0:1|0:2|1:0|1:2|1:4|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:4|6:7|7:4|7:5|7:6|7:7|7:9|8:4|8:5|8:7|8:8|8:9|9:3|9:4|9:7|9:8|9:9,375
intrinsic,intrinsic,333,110,442,0.891981981981982,3.0,3.0,0.011704824784215735,3.011704824784214,202,victory,1,0,,0,44,38,0:0|0:1|0:2|1:2|2:2|3:2|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|5:5|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:9|8:4|8:5|8:7|8:8|8:9|9:3|9:4|9:5|9:7|9:8|9:9,375
intrinsic,intrinsic,333,111,443,0.890990990990991,2.0,2.0,0.017457302203740793,2.01745730220374,300,truncated,0,0,,1,60,44,0:0|0:1|0:2|0:7|0:8|0:9|1:0|1:2|1:7|1:8|1:9|2:0|2:2|2:7|2:8|2:9|3:2|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:5|5:6|5:7|5:8|5:9|6:7|6:8|6:9|7:7|7:8|7:9|8:7|8:8|8:9|9:7|9:8|9:9,375
intrinsic,intrinsic,333,112,444,0.89,1.0,1.0,0.01716594205278671,1.017165942052785,300,truncated,0,0,,1,60,45,0:0|0:1|1:0|2:0|2:2|2:3|2:7|3:0|3:1|3:2|3:5|3:7|3:8|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|8:0|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5,375
intrinsic,intrinsic,333,113,445,0.889009009009009,3.0,3.0,0.014413961600180603,3.0144139616001784,228,victory,1,0,,0,57,45,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|2:5|3:1|3:2|3:5|3:7|3:8|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|6:0|6:1|6:2|6:4|6:7|6:8|6:9|7:4|7:5|7:6|7:7|7:8|7:9|8:8|8:9|9:9,375
intrinsic,intrinsic,333,114,446,0.888018018018018,3.0,3.0,0.011830096978862214,3.011830096978861,196,victory,1,0,,0,43,36,0:0|1:0|2:0|2:2|2:3|2:4|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:9|8:0|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:8|9:9,375
intrinsic,intrinsic,333,115,447,0.8870270270270271,3.0,3.0,0.010885708047795133,3.010885708047793,178,victory,1,0,,0,42,37,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:4|6:7|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:4|8:5|8:7|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:9,375
intrinsic,intrinsic,333,116,448,0.886036036036036,3.0,3.0,0.013190654266664863,3.013190654266661,221,victory,1,0,,0,48,40,0:0|0:1|0:2|1:0|1:2|2:2|3:1|3:2|4:2|4:3|4:7|5:0|5:1|5:2|5:7|5:8|5:9|6:0|6:1|6:2|6:7|6:8|6:9|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:7|9:8|9:9,375
