episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
775,2503,0.23297297297297304,3.0,3.0,0.0024121320343559642,3.0024121320343564,25,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
776,2504,0.23198198198198205,3.0,3.0,0.0024414213562373092,3.002441421356237,25,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
777,2505,0.23099099099099096,3.0,3.0,0.003060444800668508,3.003060444800669,34,victory,1,0,,0,25,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
778,2506,0.22999999999999998,3.0,3.0,0.0027819990956308906,3.002781999095631,30,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:8|8:9|9:9,433
779,2507,0.229009009009009,3.0,3.0,0.0029863153413778837,3.002986315341378,35,victory,1,0,,0,24,23,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:0|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
780,2508,0.22801801801801802,3.0,3.0,0.0026112884175122364,3.002611288417512,28,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
781,2509,0.22702702702702704,3.0,3.0,0.002512132034355964,3.002512132034356,26,victory,1,0,,0,24,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
782,2510,0.22603603603603606,3.0,3.0,0.0029941311299868547,3.002994131129987,33,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:9|9:9,433
783,2511,0.22504504504504508,3.0,3.0,0.0022707106781186545,3.0022707106781192,23,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
784,2512,0.2240540540540541,3.0,3.0,0.0029930341258625395,3.002993034125862,33,victory,1,0,,0,26,24,0:0|1:0|2:0|2:2|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|6:4|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:9|9:9,433
785,2513,0.22306306306306312,3.0,3.0,0.0024121320343559642,3.0024121320343564,25,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
786,2514,0.22207207207207202,3.0,3.0,0.0029819990956308903,3.0029819990956303,32,victory,1,0,,0,26,24,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:2|6:4|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:9|9:9,433
787,2515,0.22108108108108104,3.0,3.0,0.003288890505706125,3.003288890505706,37,victory,1,0,,0,26,25,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:9|9:9,433
788,2516,0.22009009009009006,3.0,3.0,0.002270710678118655,3.0022707106781183,23,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
789,2517,0.21909909909909908,3.0,3.0,0.0025405777393935815,3.002540577739394,27,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
790,2518,0.2181081081081081,3.0,3.0,0.002939734122549853,3.00293973412255,32,victory,1,0,,0,25,23,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|6:4|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:9|9:9,433
791,2519,0.21711711711711712,3.0,3.0,0.0027319990956308905,3.002731999095631,30,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
792,2520,0.21612612612612614,3.0,3.0,0.0029234204518682003,3.002923420451868,32,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:8|8:9|9:9,433
793,2521,0.21513513513513516,3.0,3.0,0.0022,3.0022,22,victory,1,0,,0,23,21,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
794,2522,0.21414414414414418,3.0,3.0,0.0030535533905932727,3.0030535533905933,32,victory,1,0,,0,28,24,0:0|0:1|0:2|1:2|2:2|3:2|4:2|5:0|5:1|5:2|6:2|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:9|9:9,433
795,2523,0.2131531531531532,3.0,3.0,0.003110444800668508,3.0031104448006687,35,victory,1,0,,0,25,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:9|9:9,433
796,2524,0.2121621621621621,3.0,3.0,0.0025698670612749265,3.0025698670612755,27,victory,1,0,,0,24,22,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:1|6:2|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,433
