episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
3965,10075,0.7396799786652444,2.0,2.0,0.0,2.0,172,death,0,1,monster,0,59,51,0:0|1:0|1:8|1:9|2:0|2:2|2:8|2:9|3:0|3:1|3:2|3:6|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:8|4:9|5:0|5:1|5:2|5:8|5:9|6:0|6:1|6:2|6:3|6:8|6:9|7:3|7:9|8:1|8:2|8:3|8:4|8:5|8:8|8:9|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3966,10076,0.7396143076205081,1.0,1.0,0.0,1.0,113,death,0,1,monster,0,28,23,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:0|6:1|7:0|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:5,2970
3967,10077,0.7395486365757717,3.0,3.0,0.0,3.0,158,victory,1,0,,0,60,55,0:0|0:1|0:2|0:7|0:8|0:9|1:2|1:6|1:8|1:9|2:2|2:3|2:4|2:6|2:9|3:4|3:5|3:6|3:8|3:9|4:2|4:3|4:4|4:6|4:9|5:1|5:2|5:6|5:8|5:9|6:0|6:1|6:2|6:3|6:8|6:9|7:0|7:9|8:0|8:2|8:3|8:4|8:5|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3968,10078,0.7394829655310354,2.0,2.0,0.0,2.0,66,death,0,1,monster,0,28,26,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:1|5:2|5:8|6:1|6:2|6:3|6:8|7:3|7:8|7:9|8:3|8:4|8:8|9:3|9:4|9:5|9:6|9:7|9:8,2970
3969,10079,0.7394172944862991,0.0,0.0,0.0,0.0,27,death,0,1,monster,0,12,11,0:0|0:1|0:2|1:0|1:2|2:2|3:2|4:2|5:2|6:2|6:3,2970
3970,10080,0.7393516234415628,2.0,2.0,0.0,2.0,84,death,0,1,monster,0,42,35,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:8|4:9|5:1|5:2|5:9|6:1|6:2|6:3|6:4|6:9|7:3|7:8|7:9|8:0|8:1|8:2|8:3|8:7|8:8|8:9|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8,2970
3971,10081,0.7392859523968265,0.0,0.0,0.0,0.0,53,death,0,1,monster,0,23,16,0:0|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|4:2|4:3|4:4|4:5|5:4,2970
3972,10082,0.7392202813520902,3.0,3.0,0.0,3.0,117,victory,1,0,,0,45,43,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:2|1:4|1:6|1:7|1:8|2:2|2:3|2:4|2:6|2:8|2:9|3:8|3:9|4:8|5:8|6:1|6:2|6:3|6:7|6:8|7:3|7:8|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:5|9:6|9:7|9:8|9:9,2970
3973,10083,0.7391546103073539,3.0,3.0,0.0,3.0,142,victory,1,0,,0,50,45,0:0|0:1|0:2|0:7|0:8|1:0|1:2|1:8|1:9|2:0|2:2|2:3|2:4|2:9|3:0|3:1|3:2|3:4|3:8|3:9|4:2|4:3|4:8|5:2|5:4|5:8|6:1|6:2|6:3|6:4|6:7|6:8|7:3|7:8|7:9|8:2|8:3|8:4|8:5|8:8|8:9|9:5|9:6|9:7|9:8,2970
3974,10084,0.7390889392626175,1.0,1.0,0.0,1.0,30,death,0,1,monster,0,17,12,0:0|1:0|2:0|2:2|3:0|3:1|3:2|4:2|5:2|6:1|6:2|6:3,2970
3975,10085,0.7390232682178812,1.0,1.0,0.0,1.0,72,death,0,1,monster,0,24,15,0:0|0:1|0:2|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:0|6:1|6:2,2970
3976,10086,0.7389575971731449,0.0,0.0,0.0,0.0,139,death,0,1,monster,0,20,12,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2,2970
3977,10087,0.7388919261284086,3.0,3.0,0.0,3.0,130,victory,1,0,,0,49,47,0:0|0:1|0:4|0:5|0:6|0:7|1:0|1:4|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:9|3:0|3:1|3:2|3:9|4:9|5:1|5:2|5:8|5:9|6:1|6:2|6:3|6:7|6:8|6:9|7:3|7:8|7:9|8:3|8:4|8:5|8:8|8:9|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3978,10088,0.7388262550836722,1.0,1.0,0.0,1.0,57,death,0,1,monster,0,21,19,0:0|0:1|0:2|1:2|1:4|2:2|2:3|2:4|3:4|3:5|4:3|4:4|5:2|5:4|6:1|6:2|6:3|6:4|7:3,2970
3979,10089,0.738760584038936,3.0,3.0,0.0,3.0,156,victory,1,0,,0,56,47,0:0|0:7|0:8|0:9|1:0|1:8|1:9|2:0|2:8|2:9|3:0|3:1|3:2|3:9|4:2|4:9|5:0|5:1|5:2|5:9|6:0|6:1|6:2|6:8|6:9|7:0|7:5|7:6|7:8|7:9|8:0|8:1|8:4|8:5|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3980,10090,0.7386949129941995,0.0,0.0,0.0,0.0,50,death,0,1,monster,0,20,14,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|4:2|5:2,2970
3981,10091,0.7386292419494633,3.0,3.0,0.0,3.0,113,victory,1,0,,0,45,44,0:0|0:1|0:7|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:9|3:0|3:1|3:2|3:9|4:2|4:9|5:1|5:2|5:9|6:1|6:2|6:3|6:9|7:3|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:7|8:8|8:9|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3982,10092,0.7385635709047269,2.0,2.0,0.0,2.0,238,death,0,1,monster,0,65,46,0:0|0:1|0:2|0:9|1:0|1:2|1:9|2:2|2:8|2:9|3:2|3:8|3:9|4:2|4:3|4:4|4:8|4:9|5:0|5:1|5:2|5:4|5:8|5:9|6:0|6:1|6:2|6:3|6:4|6:9|7:3|7:9|8:2|8:3|8:4|8:7|8:8|8:9|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8,2970
3983,10093,0.7384978998599907,3.0,3.0,0.0,3.0,149,victory,1,0,,0,52,48,0:0|0:1|0:2|0:7|0:8|0:9|1:2|1:7|1:8|1:9|2:2|2:3|2:4|2:8|2:9|3:4|3:8|3:9|4:2|4:3|4:4|4:8|5:1|5:2|5:8|5:9|6:1|6:2|6:3|6:4|6:8|6:9|7:3|7:8|7:9|8:3|8:4|8:5|8:8|8:9|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3984,10094,0.7384322288152543,3.0,3.0,0.0,3.0,260,victory,1,0,,0,61,48,0:0|0:7|0:8|0:9|1:0|1:2|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:8|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:3|4:8|4:9|5:1|5:2|5:8|5:9|6:1|6:2|6:3|6:8|6:9|7:3|7:8|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:6|9:7|9:8|9:9,2970
3985,10095,0.7383665577705181,1.0,1.0,0.0,1.0,66,death,0,1,monster,0,17,15,0:0|0:1|0:2|1:0|1:2|2:2|2:3|2:4|3:2|4:2|5:2|6:1|6:2|6:3|7:3,2970
3986,10096,0.7383008867257816,3.0,3.0,0.0,3.0,140,victory,1,0,,0,45,42,0:0|0:7|0:8|0:9|1:0|1:8|1:9|2:0|2:2|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:8|4:9|5:2|5:8|5:9|6:1|6:2|6:3|6:8|6:9|7:3|7:8|7:9|8:3|8:4|8:7|8:8|8:9|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3987,10097,0.7382352156810454,2.0,2.0,0.0,2.0,99,death,0,1,monster,0,40,31,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:0|6:1|7:0|7:8|8:0|8:1|8:2|8:3|8:4|8:5|8:7|8:8|8:9|9:0|9:1|9:2|9:4|9:5|9:6|9:7|9:8,2970
3988,10098,0.738169544636309,3.0,3.0,0.0,3.0,112,victory,1,0,,0,40,32,0:0|0:4|0:5|0:6|0:7|0:8|1:0|1:4|1:6|1:8|2:0|2:2|2:3|2:4|2:8|3:0|3:1|3:2|3:8|3:9|4:2|4:8|5:1|5:2|5:8|6:1|6:2|6:6|6:7|6:8|7:8|8:8,2970
3989,10099,0.7381038735915728,2.0,2.0,0.0,2.0,176,death,0,1,monster,0,54,39,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|3:9|4:2|4:9|5:0|5:1|5:2|5:9|6:0|6:1|6:2|6:3|6:4|6:9|7:3|7:8|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3990,10100,0.7380382025468364,3.0,3.0,0.0,3.0,108,victory,1,0,,0,49,43,0:0|0:7|0:8|1:0|1:8|2:0|2:8|3:0|3:1|3:2|3:8|3:9|4:2|4:8|4:9|5:0|5:1|5:2|5:8|5:9|6:0|6:1|6:2|6:3|6:8|6:9|7:0|7:3|7:8|7:9|8:0|8:1|8:2|8:7|8:8|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7,2970
3991,10101,0.7379725315021002,3.0,3.0,0.0,3.0,156,victory,1,0,,0,50,44,0:0|0:7|1:0|1:6|1:7|1:8|1:9|2:0|2:6|2:8|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:3|4:8|4:9|5:0|5:1|5:2|5:4|5:8|5:9|6:1|6:2|6:3|6:4|6:8|6:9|7:3|7:8|7:9|8:3|8:4|8:5|8:7|8:8|9:5|9:6|9:7|9:8,2970
3992,10102,0.7379068604573639,3.0,3.0,0.0,3.0,126,victory,1,0,,0,58,52,0:0|0:7|1:0|1:7|1:8|2:0|2:2|2:3|2:4|2:8|2:9|3:0|3:1|3:2|3:4|3:9|4:2|4:3|4:4|4:8|4:9|5:0|5:1|5:2|5:4|5:8|5:9|6:0|6:1|6:6|6:8|6:9|7:0|7:5|7:6|7:8|8:0|8:2|8:3|8:4|8:5|8:7|8:8|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8,2970
3993,10103,0.7378411894126276,1.0,1.0,0.0,1.0,96,death,0,1,monster,0,31,23,0:0|0:1|0:2|1:2|2:2|2:3|2:4|3:1|3:2|4:2|5:1|5:2|6:0|6:1|6:2|6:3|7:3|8:3|8:4|8:5|9:4|9:5|9:6,2970
3994,10104,0.7377755183678912,3.0,3.0,0.0,3.0,227,victory,1,0,,0,53,51,0:0|0:2|0:7|0:8|1:0|1:2|1:8|1:9|2:0|2:2|2:3|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:8|5:0|5:1|5:2|5:8|6:0|6:1|6:2|6:3|6:8|6:9|7:0|7:3|7:5|7:8|7:9|8:1|8:2|8:3|8:4|8:5|8:7|8:8|8:9|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3995,10105,0.7377098473231549,3.0,3.0,0.0,3.0,131,victory,1,0,,0,39,38,0:0|0:1|0:2|0:7|0:8|1:2|1:8|1:9|2:2|2:9|3:2|3:9|4:2|4:3|4:9|5:1|5:2|5:8|5:9|6:1|6:2|6:3|6:7|6:8|6:9|7:3|7:8|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:6|9:7,2970
3996,10106,0.7376441762784186,3.0,3.0,0.0,3.0,124,victory,1,0,,0,53,48,0:0|0:1|0:2|0:7|1:2|1:7|1:8|1:9|2:2|2:3|2:4|2:9|3:4|3:5|3:9|4:4|4:9|5:0|5:1|5:2|5:4|5:8|5:9|6:0|6:1|6:2|6:3|6:4|6:8|7:0|7:3|7:8|8:0|8:2|8:3|8:4|8:7|8:8|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3997,10107,0.7375785052336823,0.0,0.0,0.0,0.0,29,death,0,1,monster,0,10,7,0:0|0:1|0:2|1:2|2:2|2:3|3:2,2970
3998,10108,0.7375128341889459,3.0,3.0,0.0,3.0,119,victory,1,0,,0,49,44,0:0|0:1|0:7|1:0|1:7|1:8|1:9|2:0|2:9|3:0|3:1|3:2|3:9|4:2|4:9|5:0|5:1|5:2|5:8|5:9|6:0|6:1|6:2|6:8|6:9|7:0|7:8|7:9|8:0|8:1|8:4|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,2970
3999,10109,0.7374471631442097,3.0,3.0,0.0,3.0,97,victory,1,0,,0,41,38,0:0|0:1|0:2|0:7|0:8|1:0|1:2|1:8|1:9|2:2|2:9|3:2|3:9|4:2|4:9|5:0|5:1|5:2|5:8|5:9|6:0|6:1|6:2|6:3|6:8|7:3|7:5|7:6|7:8|8:3|8:4|8:5|8:7|8:8|9:4|9:5|9:6|9:7,2970
4000,10110,0.7373814920994732,3.0,3.0,0.0,3.0,141,victory,1,0,,0,50,47,0:0|0:7|0:8|0:9|1:0|1:2|1:7|1:8|1:9|2:0|2:2|2:3|2:8|2:9|3:0|3:1|3:2|3:9|4:2|4:3|4:9|5:0|5:1|5:2|5:8|5:9|6:0|6:1|6:8|6:9|7:0|7:8|8:0|8:1|8:2|8:3|8:4|8:7|8:8|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7,2970
4001,10111,0.737315821054737,2.0,2.0,0.0,2.0,88,death,0,1,monster,0,27,25,0:0|1:0|2:0|3:0|3:1|3:2|4:2|5:1|5:2|6:1|6:2|6:3|7:3|7:5|7:6|7:8|8:3|8:4|8:5|8:7|8:8|9:4|9:5|9:6|9:7,2970
4002,10112,0.7372501500100006,3.0,3.0,0.0,3.0,143,victory,1,0,,0,49,47,0:0|0:1|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:4|1:8|1:9|2:0|2:2|2:3|2:4|2:9|3:0|3:1|3:2|3:4|3:9|4:9|5:9|6:1|6:2|6:3|6:4|6:9|7:3|7:5|7:8|7:9|8:2|8:3|8:4|8:5|8:7|8:8|8:9|9:2|9:3|9:4|9:5|9:6|9:7|9:8,2970
4003,10113,0.7371844789652644,2.0,2.0,0.0,2.0,107,death,0,1,monster,0,42,40,0:0|0:9|1:0|1:6|1:7|1:8|1:9|2:0|2:9|3:0|3:1|3:2|3:9|4:2|4:9|5:0|5:1|5:2|5:9|6:0|6:1|6:2|6:3|6:7|6:8|6:9|7:3|7:5|7:8|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:5|9:6|9:7|9:8,2970
4004,10114,0.737118807920528,2.0,2.0,0.0,2.0,88,death,0,1,monster,0,53,42,0:0|0:1|0:2|1:2|2:2|2:9|3:2|3:8|3:9|4:2|4:3|4:4|4:7|4:8|4:9|5:1|5:4|5:8|5:9|6:0|6:1|6:2|6:3|6:4|6:8|6:9|7:0|7:8|7:9|8:0|8:1|8:2|8:4|8:7|8:8|9:0|9:2|9:3|9:4|9:5|9:6|9:7,2970
4005,10115,0.7370531368757918,3.0,3.0,0.0,3.0,114,victory,1,0,,0,48,42,0:0|0:7|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:8|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:8|4:9|5:1|5:2|5:8|5:9|6:1|6:2|6:3|6:4|6:8|6:9|7:3|7:8|7:9|8:3|8:4|8:7|8:8|9:3|9:4|9:5|9:6|9:7|9:8,2970
4006,10116,0.7369874658310553,3.0,3.0,0.0,3.0,109,victory,1,0,,0,45,42,0:0|0:7|0:8|0:9|1:0|1:9|2:0|2:9|3:0|3:1|3:2|3:9|4:2|4:3|4:9|5:0|5:1|5:2|5:8|5:9|6:0|6:1|6:2|6:3|6:9|7:3|7:8|7:9|8:1|8:2|8:3|8:4|8:5|8:7|8:8|9:1|9:2|9:3|9:4|9:5|9:6|9:7,2970
4007,10117,0.7369217947863191,3.0,3.0,0.0,3.0,111,victory,1,0,,0,47,38,0:0|0:7|0:8|1:0|1:7|1:8|1:9|2:0|2:2|2:8|2:9|3:0|3:1|3:2|3:8|3:9|4:2|4:8|5:2|5:8|5:9|6:1|6:2|6:3|6:9|7:3|7:8|7:9|8:3|8:4|8:7|8:8|8:9|9:3|9:4|9:5|9:6|9:7,2970
