episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
41,1769,0.9603603603603603,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,65,62,0:0|0:1|0:6|1:0|1:1|1:6|1:7|1:8|1:9|2:0|2:1|2:5|2:6|2:7|2:9|3:0|3:1|3:3|3:4|3:5|3:6|4:0|4:1|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:1|6:2|6:3|6:4|6:5|6:6|7:0|7:1|7:2|7:3|7:4|7:5|7:6|8:0|8:2|8:3|8:4|8:5|8:6|8:7|9:0|9:1|9:2|9:4|9:5|9:6|9:7|9:8,623
42,1770,0.9593693693693693,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,57,47,0:0|0:1|0:2|1:0|1:1|2:0|2:1|3:0|3:1|3:2|4:0|4:1|4:2|5:0|5:1|5:2|5:3|5:6|6:0|6:1|6:2|6:3|6:4|6:6|7:0|7:1|7:2|7:3|7:4|7:6|8:0|8:1|8:2|8:3|8:6|8:7|8:8|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,625
43,1771,0.9583783783783784,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,56,50,0:0|0:1|0:2|0:3|1:0|1:1|2:0|2:1|2:3|3:0|3:1|3:2|3:3|3:4|3:5|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:1|5:2|5:3|5:4|5:5|5:6|6:1|6:2|6:3|6:4|6:5|6:6|7:2|7:3|7:4|7:5|7:6|7:7|8:2|8:3|8:4|8:5|8:6|8:7|9:2|9:4|9:5|9:6,628
44,1772,0.9573873873873874,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,106,74,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:4|1:5|1:6|1:7|1:8|1:9|2:1|2:4|2:5|2:6|2:7|2:8|2:9|3:1|3:5|3:6|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:8|4:9|5:2|5:3|5:4|5:5|5:6|5:8|5:9|6:2|6:3|6:4|6:5|6:6|6:8|7:1|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:1|8:3|8:4|8:5|8:6|9:0|9:1|9:2|9:3|9:4|9:5|9:6,651
45,1773,0.9563963963963964,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,49,49,0:0|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:5|1:8|1:9|2:1|2:4|2:5|2:6|2:7|2:8|2:9|3:1|3:2|3:3|3:4|3:7|3:8|3:9|4:7|4:8|4:9|5:8|5:9|6:8|6:9|7:4|7:5|7:7|7:8|7:9|8:4|8:5|8:6|8:7|8:8|8:9|9:4|9:5|9:6|9:7|9:8|9:9,652
46,1774,0.9554054054054054,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,74,68,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:6|1:7|1:8|1:9|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:2|3:3|3:4|3:5|3:6|3:7|3:8|3:9|4:0|4:1|4:2|4:3|4:7|4:8|4:9|5:0|5:8|5:9|6:0|6:1|6:8|6:9|7:0|7:1|7:2|7:6|7:7|7:8|7:9|8:0|8:1|8:2|8:5|8:6|8:7|8:8|8:9|9:1|9:2|9:3|9:4|9:5|9:6,656
47,1775,0.9544144144144144,0.0,0.0,0.0,0.0,200,truncated,0,0,,1,37,37,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:3|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:4|3:5|3:6|3:7|4:5|4:6|4:7|4:8,656
48,1776,0.9534234234234235,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,76,53,0:0|0:1|0:2|0:3|0:4|1:0|1:1|1:3|1:4|2:0|2:1|2:3|2:4|3:0|3:1|3:2|3:3|3:4|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:3|5:4|5:5|6:0|6:1|6:2|6:4|6:5|7:0|7:1|7:2|7:3|7:4|7:5|7:6|8:0|8:1|8:2|8:3|8:4|8:5|8:6|9:0|9:1|9:2|9:3|9:4|9:5,659
49,1777,0.9524324324324325,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,75,66,0:0|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:4|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:4|3:5|3:6|3:7|3:9|4:0|4:1|4:2|4:3|4:4|4:5|4:6|4:7|4:8|4:9|5:0|5:1|5:2|5:3|5:4|5:5|5:6|5:8|5:9|6:2|6:3|6:4|6:5|6:6|6:8|6:9|7:4|7:5|7:6|7:7|7:8|7:9|8:6|8:7|8:8|8:9|9:7|9:8,659
50,1778,0.9514414414414415,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,69,61,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:3|3:4|3:5|3:6|3:7|3:8|3:9|4:0|4:1|4:3|4:4|4:5|4:6|4:8|4:9|5:0|5:1|5:2|5:3|5:4|5:5|5:8|6:0|6:2|6:3|7:1|7:2|8:0|8:1|8:2|9:0|9:1,659
