#{"t_start": 1788408764.8568842, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
11.846019,561,28.858703,3,0.0,6,4,2,117.68119999999999,234.0,3,0,3,2,0,2
-85.638751,281,29.325701,1,0.0,2,1,0,112.0,48.0,1,0,0,0,0,0
-118.026721,344,29.894701,1,0.0,1,1,0,112.0,41.0,1,0,0,0,0,0
-101.787539,275,30.387699,3,0.0,0,0,0,107.5872,0.0,1,0,2,0,0,0
-97.103677,236,30.825699,6,0.0,0,0,0,107.08,0.0,1,0,2,0,0,0
-58.429477,480,31.6607,2,0.0,4,3,1,150.4195,158.0,2,1,0,0,0,0
-86.512101,212,32.0497,3,0.0,0,0,0,113.7584,0.0,1,0,0,0,0,0
-89.604662,248,32.471699,1,0.0,1,0,0,112.0,7.0,1,0,0,0,0,0
-138.741741,586,33.464694,1,0.0,4,1,0,112.0,62.0,2,0,0,0,0,0
-90.93289,286,33.977751,3,0.0,0,0,0,101.6848,0.0,1,0,0,0,0,0
-55.182025,381,34.600745,2,0.0,1,3,1,113.46999999999998,137.0,2,0,0,0,0,0
-83.832649,182,34.923749,6,0.0,0,0,0,107.08,0.0,1,0,0,0,0,0
-114.689834,293,35.454745,6,0.0,0,0,0,107.08,0.0,1,0,0,0,0,0
-59.312523,539,36.350744,2,0.0,3,3,1,101.42999999999998,151.0,2,0,0,0,0,0
-148.804871,1400,38.886379,3,0.0,20,4,2,192.63724,502.0,4,0,0,0,0,1
-67.839633,368,39.611381,2,0.0,2,2,1,171.92000000000002,110.0,2,0,0,0,0,0
-6.242628,683,46.414368,3,0.0,11,4,2,102.8104,269.0,3,0,0,0,0,1
-152.060653,1066,48.41936,3,0.0,13,4,2,115.18415999999999,283.0,3,1,0,0,0,1
-60.52602,769,49.816359,3,0.0,7,4,2,103.82791999999999,241.0,3,0,0,0,0,1
-53.219318,753,51.169272,3,0.0,10,4,2,188.44559999999998,262.0,3,0,3,0,0,1
-143.780913,473,51.998266,1,0.0,1,1,0,112.0,41.0,1,0,0,0,0,0
-248.57114,767,53.328264,2,0.0,2,2,1,171.43,110.0,2,0,0,0,0,0
-83.531717,204,53.695263,6,0.0,0,0,0,107.08,0.0,1,0,0,0,0,0
-91.164764,232,54.113264,6,0.0,0,0,0,118.43999999999998,0.0,1,0,3,0,0,0
-10.950851,666,55.291046,3,0.0,7,4,2,115.6848,326.0,3,0,2,0,0,1
-81.270214,156,55.595049,6,0.0,1,0,0,112.75999999999999,7.0,1,0,2,0,0,0
-114.967173,311,56.172046,3,0.0,0,0,0,107.58720000000001,0.0,1,0,0,0,0,0
-71.310932,422,56.936855,2,0.0,5,2,1,109.39949999999999,131.0,2,1,0,0,0,1
-73.002609,384,57.573854,2,0.0,2,2,1,120.45949999999999,110.0,2,1,0,0,0,0
-94.945814,277,58.077853,3,0.0,0,0,0,107.5872,0.0,1,0,2,0,0,0
-34.132678,1114,59.972845,3,0.0,14,4,2,179.5136,290.0,3,0,3,0,0,1
-96.66329,423,60.669844,2,0.0,2,3,1,170.45000000000002,144.0,2,0,0,0,0,0
-75.765417,113,60.865844,6,0.0,0,0,0,118.43999999999998,0.0,1,0,0,0,0,0
-79.221039,193,61.213847,6,0.0,0,0,0,107.08,0.0,1,0,0,0,0,0
-55.241886,754,62.475845,3,0.0,7,4,2,100.6152,241.0,3,1,2,0,0,1
-4.020362,788,63.811843,3,0.0,9,4,2,110.2724,255.0,3,0,0,0,0,0
