#{"t_start": 1788109567.4635227, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-34.968975,215,30.242711,1,0.0,3,0,0,112.0,30.0,1
-36.071766,143,30.497709,1,0.0,1,0,0,112.0,10.0,1
-14.151669,228,30.889709,1,0.0,7,1,0,112.0,105.0,3
-37.456052,138,31.151709,1,0.0,1,0,0,112.0,10.0,1
-35.879882,92,31.335709,1,0.0,0,0,0,112.0,0.0,1
-34.273331,203,31.833709,1,0.0,3,0,0,112.0,30.0,1
-22.219497,152,32.11671,1,0.0,1,1,0,112.0,45.0,2
-35.594587,153,32.375709,1,0.0,2,0,0,112.0,20.0,1
-36.683212,117,32.573709,1,0.0,1,0,0,112.0,10.0,1
33.223226,260,33.016709,2,0.0,8,2,1,100.80000000000001,175.0,3
49.452435,259,33.48471,2,0.0,10,3,1,100.80000000000001,230.0,4
-22.36665,137,33.767709,1,0.0,1,1,0,112.0,45.0,2
-38.655748,180,34.10074,1,0.0,0,0,0,112.0,0.0,1
-21.992452,115,34.286294,1,0.0,1,1,0,112.0,45.0,2
-38.178253,117,34.489806,1,0.0,0,0,0,112.0,0.0,1
-34.131428,156,34.790806,1,0.0,2,0,0,112.0,20.0,1
-23.674863,128,35.044806,1,0.0,0,1,0,112.0,35.0,1
-37.688082,117,35.268806,1,0.0,1,0,0,112.0,10.0,1
22.340124,241,35.720806,2,0.0,2,2,1,143.92000000000002,115.0,3
-22.332065,232,36.115806,1,0.0,2,1,0,112.0,55.0,2
-14.808626,320,36.646806,1,0.0,7,1,0,140.0,105.0,3
-35.248314,198,37.030806,1,0.0,3,0,0,112.0,30.0,1
-38.482331,122,37.236809,1,0.0,0,0,0,112.0,0.0,1
-18.975271,340,37.84881,1,0.0,3,1,0,112.0,65.0,2
-23.800357,100,38.017805,1,0.0,0,1,0,112.0,35.0,1
-37.082459,108,38.212806,1,0.0,1,0,0,112.0,10.0,1
-37.023958,141,38.466807,1,0.0,1,0,0,112.0,10.0,1
-36.598826,264,38.976808,1,0.0,1,0,0,112.0,10.0,1
-34.260459,207,39.376807,1,0.0,3,0,0,112.0,30.0,1
-37.18007,109,39.569805,1,0.0,0,0,0,112.0,0.0,1
-36.519749,97,39.716805,1,0.0,0,0,0,112.0,0.0,1
-19.472555,171,39.995806,1,0.0,3,1,0,112.0,65.0,2
-34.807068,91,40.158806,1,0.0,0,0,0,112.0,0.0,1
