#{"t_start": 1788242176.2486546, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
124.707289,346,203.70867,3,0.0,12,5,2,115.57160000000002,310.0,3,0,3,0,1,0
1319.050228,2306,209.998033,11,0.0,229,36,10,351.4860000000001,4052.0,11,1,0,0,0,3
-12.896256,173,210.472042,3,0.0,4,0,0,105.23520000000002,28.0,1,0,2,2,0,0
94.845314,336,211.626799,4,0.0,10,3,1,123.84720000000003,345.0,3,0,0,0,0,0
-3.97568,231,212.401112,3,0.0,7,0,0,130.6132,49.0,1,1,3,0,0,0
62.418282,424,213.4868,4,0.0,16,2,1,207.98160000000004,353.0,3,0,0,0,0,0
65.33196,400,214.514066,4,0.0,18,2,1,193.46640000000005,367.0,3,0,0,0,0,0
240.923179,921,230.853009,4,0.0,68,7,3,203.88240000000005,943.0,5,0,0,0,0,2
-33.621933,229,231.40722,3,0.0,7,0,0,103.956,49.0,1,0,2,0,0,0
127.15728,351,232.153912,3,0.0,10,5,2,102.49000000000001,296.0,3,0,2,1,1,1
118.482546,520,233.492763,3,0.0,15,5,2,160.64040000000003,331.0,3,0,2,1,1,0
79.251326,294,234.254728,4,0.0,8,2,1,165.49120000000005,297.0,3,1,0,0,0,0
-23.734749,133,234.642034,3,0.0,3,0,0,108.86400000000002,21.0,1,0,3,0,0,0
483.932646,845,236.936622,6,0.0,57,16,5,133.728,1313.0,6,1,2,0,0,1
69.583174,379,238.065698,4,0.0,13,2,1,203.41200000000006,332.0,3,0,0,0,0,0
-18.585226,192,238.608685,3,0.0,5,0,0,100.05960000000002,35.0,1,1,2,1,1,0
-28.180247,204,239.157088,3,0.0,6,0,0,110.33000000000001,42.0,1,0,0,1,0,0
240.079364,750,241.163052,4,0.0,44,7,3,200.70400000000004,775.0,5,0,0,0,0,2
97.150009,592,243.211349,4,0.0,18,2,1,237.90920000000006,452.0,4,0,0,0,0,0
