#{"t_start": 1788106229.0145102, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-19.055983,265,47.431886,1,0.0,4,1,0,112.0,75.0,2
-34.861447,187,47.794887,1,0.0,3,0,0,112.0,30.0,1
-20.158109,249,48.270887,1,0.0,4,1,0,112.0,75.0,2
-35.528266,247,48.725886,1,0.0,3,0,0,112.0,30.0,1
-38.689916,161,48.995886,1,0.0,0,0,0,112.0,0.0,1
-20.352057,164,49.265885,1,0.0,1,1,0,112.0,45.0,2
47.47632,200,49.594886,2,0.0,6,3,1,101.92,190.0,3
-20.331929,195,49.938886,1,0.0,2,1,0,112.0,55.0,2
111.682245,205,50.267885,3,0.0,6,5,2,108.86400000000002,285.0,4
-20.877889,335,50.862885,1,0.0,3,1,0,112.0,65.0,2
65.563046,386,51.533886,2,0.0,13,4,1,101.92,295.0,4
-22.281335,178,51.825887,1,0.0,2,1,0,112.0,55.0,2
-32.208868,275,52.325887,1,0.0,7,0,0,112.0,70.0,2
-19.51036,260,52.812886,1,0.0,6,1,0,112.0,95.0,2
-16.027905,421,53.56189,1,0.0,8,1,0,140.0,115.0,3
-39.745653,188,53.898887,1,0.0,0,0,0,112.0,0.0,1
-16.578151,341,54.504885,1,0.0,6,1,0,112.0,95.0,2
106.012123,377,55.188891,3,0.0,9,5,2,156.12800000000001,315.0,5
48.307921,304,55.747886,2,0.0,11,3,1,130.5024,240.0,4
103.799846,340,56.327895,3,0.0,10,5,2,179.20000000000002,325.0,5
121.446184,651,57.513886,3,0.0,21,5,2,162.96000000000004,435.0,5
222.468802,1004,59.432885,4,0.0,33,8,3,152.32000000000002,685.0,7
-14.369126,422,60.178885,1,0.0,7,1,0,112.0,105.0,3
-7.797863,688,61.490885,1,0.0,14,1,0,126.0,175.0,3
-13.952341,270,61.997885,1,0.0,9,1,0,112.0,125.0,3
-15.219614,411,62.819885,1,0.0,6,1,0,112.0,95.0,2
-33.033716,111,63.041885,1,0.0,2,0,0,112.0,20.0,1
44.535157,241,63.506888,2,0.0,7,3,1,131.04,200.0,4
-21.555486,279,64.038886,1,0.0,1,1,0,112.0,45.0,2
-35.91872,146,64.312886,1,0.0,1,0,0,112.0,10.0,1
-32.050446,306,64.936885,1,0.0,7,0,0,112.0,70.0,2
-23.669451,459,65.865885,1,0.0,12,0,0,112.0,120.0,3
-13.678073,434,66.676885,1,0.0,6,1,0,112.0,95.0,2
45.626709,260,67.173888,2,0.0,7,3,1,101.92,200.0,4
-8.81582,658,68.423886,1,0.0,14,1,0,140.0,175.0,3
152.159848,1075,70.522886,3,0.0,37,5,2,105.28000000000002,595.0,6
-16.321393,413,71.296886,1,0.0,5,1,0,112.0,85.0,2
-37.00146,234,71.757886,1,0.0,3,0,0,112.0,30.0,1
74.531754,414,72.523899,2,0.0,18,4,1,100.80000000000001,345.0,5
29.15699,192,72.87593,2,0.0,3,2,1,101.36000000000001,125.0,3
-21.560391,314,73.478984,1,0.0,2,1,0,112.0,55.0,2
62.519007,390,74.228928,2,0.0,17,3,1,101.92,300.0,4
-19.41482,306,74.806929,1,0.0,4,1,0,112.0,75.0,2
-20.146584,305,75.40893,1,0.0,3,1,0,112.0,65.0,2
76.058295,951,77.26793,2,0.0,29,3,1,100.80000000000001,420.0,5
10.441953,922,79.077929,1,0.0,24,1,0,112.0,275.0,4
-20.479144,239,79.541929,1,0.0,2,1,0,112.0,55.0,2
43.022633,218,79.94193,2,0.0,5,3,1,101.92,180.0,3
-23.984714,269,80.426929,1,0.0,0,1,0,112.0,35.0,1
-35.276974,245,80.894928,1,0.0,4,0,0,112.0,40.0,2
-16.738152,377,81.578929,1,0.0,4,1,0,126.0,75.0,2
50.554809,655,82.92993,2,0.0,17,3,1,157.92000000000002,300.0,4
-27.765854,377,83.688928,1,0.0,8,0,0,112.0,80.0,2
44.85558,531,84.727929,2,0.0,12,3,1,185.92000000000002,250.0,4
-20.574894,250,85.183929,1,0.0,2,1,0,112.0,55.0,2
80.902713,1100,92.64293,2,0.0,37,3,1,157.92000000000002,500.0,6
160.153985,1613,95.702928,3,0.0,53,5,2,109.80032000000003,755.0,7
190.797642,373,96.374931,4,0.0,13,8,3,169.12000000000003,485.0,6
-19.116701,162,96.665932,1,0.0,3,1,0,112.0,65.0,2
67.639023,502,97.566929,2,0.0,14,4,1,156.8,305.0,4
205.029181,849,99.16493,4,0.0,35,7,3,175.72800000000007,670.0,7
29.670861,218,99.541977,2,0.0,4,2,1,101.36000000000001,135.0,3
-5.744177,574,100.623929,1,0.0,15,1,0,126.0,185.0,3
179.634183,263,101.117928,4,0.0,10,7,3,109.76000000000002,420.0,5
58.757885,645,102.377978,2,0.0,23,3,1,173.60000000000002,360.0,5
165.110457,1800,105.809928,2,52.75999999999999,60,4,1,72.24000000000001,765.0,7
64.776988,974,107.70893,2,0.0,28,3,1,185.36,410.0,5
166.460327,441,108.514928,4,0.0,18,6,3,176.28800000000004,465.0,6
112.424608,422,109.285928,3,0.0,9,5,2,108.86400000000002,315.0,5
127.873073,593,110.404928,3,0.0,25,5,2,149.52,475.0,6
-22.639629,371,111.119928,1,0.0,4,1,0,112.0,75.0,2
-23.705441,174,111.435928,1,0.0,0,1,0,112.0,35.0,1
73.877651,514,112.371928,2,0.0,16,4,1,100.80000000000001,325.0,5
54.897594,318,112.963928,2,0.0,13,3,1,101.92,260.0,4
223.131082,533,113.944928,4,0.0,21,9,3,106.96000000000001,600.0,6
-25.832554,115,114.139928,1,0.0,1,1,0,126.0,45.0,2
-15.663491,257,114.609929,1,0.0,6,1,0,112.0,95.0,2
73.853985,442,115.462928,2,0.0,17,4,1,101.36000000000001,335.0,5
35.683559,479,116.371928,2,0.0,9,2,1,143.92000000000002,185.0,3
69.313684,561,117.460932,2,0.0,14,4,1,143.92000000000002,305.0,4
-23.486324,162,117.849935,1,0.0,1,1,0,126.0,45.0,2
-3.080069,698,119.217932,1,0.0,13,1,0,112.0,165.0,3
91.051833,871,120.799929,2,0.0,28,4,1,116.48,445.0,5
54.787458,458,121.658933,2,0.0,17,3,1,187.04000000000002,300.0,4
66.008202,291,122.159929,2,0.0,8,4,1,102.5024,245.0,4
33.247492,216,122.542979,2,0.0,6,2,1,101.92,155.0,3
115.800477,278,123.016929,3,0.0,8,5,2,108.86400000000002,305.0,4
130.230652,802,124.433991,3,0.0,20,5,2,104.72000000000003,425.0,5
-8.616512,287,124.952929,1,0.0,9,1,0,101.91999999999999,125.0,3
-21.50933,140,125.226928,1,0.0,1,1,0,112.0,45.0,2
17.241656,1070,127.192928,1,0.0,27,1,0,112.0,305.0,4
-14.896475,512,128.180928,1,0.0,21,0,0,126.0,210.0,4
223.902279,458,129.004929,4,0.0,21,9,3,108.08000000000001,600.0,6
-37.470279,282,129.601928,1,0.0,2,0,0,112.0,20.0,1
92.236549,981,131.407928,2,0.0,35,4,1,131.04,515.0,6
47.052793,973,133.256928,2,0.0,25,2,1,228.48000000000002,345.0,5
-20.390174,287,133.831929,1,0.0,5,1,0,112.0,85.0,2
-22.399358,123,134.060933,1,0.0,1,1,0,112.0,45.0,2
206.655594,826,135.572928,4,0.0,32,7,3,106.96000000000002,640.0,7
-14.374553,294,136.128932,1,0.0,7,1,0,126.0,105.0,3
165.016272,313,136.721933,4,0.0,10,6,3,112.89600000000003,385.0,5
-17.206107,386,137.448928,1,0.0,5,1,0,112.0,85.0,2
114.759969,459,138.25293,3,0.0,14,5,2,151.98400000000004,365.0,5
228.513895,1034,146.285929,4,0.0,48,8,3,234.75200000000007,835.0,8
44.889116,204,146.634928,2,0.0,6,3,1,101.36000000000001,190.0,3
68.698966,376,147.31598,2,0.0,11,4,1,101.92,275.0,4
238.164948,921,149.089928,4,0.0,37,8,3,122.08000000000001,725.0,7
-13.826776,329,149.680929,1,0.0,6,1,0,126.0,95.0,2
366.848258,1517,152.500928,5,0.0,62,13,4,159.6,1175.0,9
64.782257,281,152.984998,2,0.0,8,4,1,100.80000000000001,245.0,4
140.897008,793,154.510927,3,0.0,35,5,2,191.52000000000004,575.0,6
-15.191074,273,155.051928,1,0.0,6,1,0,112.0,95.0,2
182.025606,530,156.178928,4,0.0,16,7,3,149.02720000000005,480.0,6
59.328068,261,156.613928,2,0.0,5,4,1,100.80000000000001,215.0,4
-17.678611,235,157.028978,1,0.0,4,1,0,112.0,75.0,2
249.198352,1307,159.516928,4,0.0,56,8,3,107.52000000000002,915.0,8
254.939337,550,160.555928,4,0.0,36,10,3,152.32000000000002,785.0,7
135.82993,867,162.17693,3,0.0,29,5,2,225.90400000000002,515.0,6
177.259705,546,163.11293,4,0.0,24,6,3,188.38400000000001,525.0,6
362.502478,1121,165.248929,5,0.0,59,13,4,153.4624,1145.0,9
120.150763,508,166.16093,3,0.0,14,5,2,105.28000000000002,365.0,5
233.931524,1133,168.228929,4,0.0,41,8,3,111.21600000000002,765.0,7
-13.830085,406,169.014928,1,0.0,9,1,0,112.0,125.0,3
-12.582924,530,170.017927,1,0.0,11,1,0,140.0,145.0,3
66.366155,352,170.674927,2,0.0,12,4,1,107.184,285.0,4
46.977854,352,171.277927,2,0.0,10,3,1,154.64960000000002,230.0,4
125.197661,425,172.035928,3,0.0,17,5,2,101.69600000000001,395.0,5
114.945031,457,172.885927,3,0.0,14,5,2,149.52,365.0,5
97.775313,1464,175.496927,2,0.0,43,3,1,156.24,560.0,6
228.510171,832,177.091928,4,0.0,30,9,3,108.64000000000001,690.0,7
-35.870069,105,177.278928,1,0.0,3,0,0,112.0,30.0,1
197.694961,717,178.660927,4,0.0,27,7,3,179.87200000000004,590.0,6
186.830435,404,179.387933,4,0.0,20,7,3,183.68000000000004,520.0,6
237.05271,830,180.954929,4,0.0,33,9,3,122.64000000000001,720.0,7
121.483677,499,181.849927,3,0.0,15,5,2,105.28000000000002,375.0,5
60.626631,543,182.871927,2,0.0,9,4,1,143.92000000000002,255.0,4
134.821931,714,184.224927,3,0.0,28,5,2,151.98400000000004,505.0,6
180.651802,384,184.985927,4,0.0,11,7,3,109.76000000000002,430.0,5
76.691082,545,186.048928,2,0.0,30,3,1,101.36000000000001,430.0,5
391.446811,1241,188.565933,5,0.0,82,13,4,140.56,1375.0,9
-18.881067,208,188.991927,1,0.0,3,1,0,112.0,65.0,2
185.693514,413,189.880577,4,0.0,17,7,3,156.80000000000004,490.0,6
-17.485241,511,191.011572,1,0.0,16,0,0,112.0,160.0,3
